sample,hours,gam_24h,gam_1h
11,19,105.16374206542969,117.20706939697266
11,20,94.63508605957031,106.68843078613281
11,21,92.3929214477539,100.65451049804688
11,22,89.48404693603516,102.3924331665039
11,23,95.4499740600586,68.47061920166016
12,0,99.5334243774414,64.03202056884766
12,1,101.68034362792969,58.33702850341797
12,2,100.67681121826172,63.047420501708984
12,3,91.3617172241211,48.192203521728516
12,4,92.036865234375,52.51068115234375
12,5,88.34043884277344,43.079139709472656
12,6,52.916465759277344,62.86762237548828
12,7,39.898075103759766,65.2516860961914
12,8,30.37535285949707,32.650962829589844
12,9,34.172607421875,34.9713020324707
12,10,41.692325592041016,59.598445892333984
12,11,43.686180114746094,72.5456771850586
12,12,44.9884147644043,72.65606689453125
12,13,44.32251739501953,83.87716674804688
12,14,43.2495002746582,79.58367156982422
12,15,44.47726821899414,81.94164276123047
12,16,48.039485931396484,74.61984252929688
12,17,86.9390869140625,107.6106948852539
12,18,101.78453063964844,119.33736419677734
12,19,100.20513916015625,118.94720458984375
12,20,98.48823547363281,118.19027709960938
12,21,98.3746566772461,111.71798706054688
12,22,98.18312072753906,114.82035827636719
12,23,96.69745635986328,97.80693817138672
13,0,100.25167846679688,90.34528350830078
13,1,103.30243682861328,72.29280090332031
13,2,102.02980041503906,76.41384887695312
13,3,105.21414947509766,72.180419921875
13,4,104.28131866455078,64.87501525878906
13,5,99.22510528564453,79.34171295166016
13,6,98.81331634521484,99.14952850341797
13,7,115.29654693603516,112.6006088256836
13,8,116.38578033447266,110.16487121582031
13,9,109.18540954589844,104.09461212158203
13,10,103.29924011230469,105.97190856933594
13,11,119.06887817382812,116.31932830810547
13,12,127.30380249023438,114.65380859375
13,13,133.87051391601562,120.03988647460938
13,14,146.4986572265625,116.3778305053711
13,15,159.31492614746094,122.2283706665039
13,16,170.2388916015625,123.18175506591797
13,17,157.11744689941406,128.077392578125
13,18,157.69927978515625,127.75741577148438
13,19,149.7382354736328,125.72997283935547
13,20,142.83531188964844,125.45223236083984
13,21,143.2870635986328,120.8262710571289
13,22,145.46849060058594,118.24739074707031
13,23,146.84727478027344,106.18294525146484
14,0,144.51199340820312,113.469970703125
14,1,145.1313018798828,116.27129364013672
14,2,132.84576416015625,117.62110900878906
14,3,123.02389526367188,117.07316589355469
14,4,118.4030532836914,103.35586547851562
14,5,114.86537170410156,101.94747161865234
14,6,117.02067565917969,114.35848999023438
14,7,115.2004623413086,134.3155517578125
14,8,110.04752349853516,139.76373291015625
14,9,108.01588439941406,126.56484985351562
14,10,109.0713882446289,122.18854522705078
14,11,107.8599624633789,113.25027465820312
14,12,117.88021850585938,100.49632263183594
